word,definition
abaxial,facing away from the axis of an organ or organism
adaxial,nearest to or facing toward the axis of an organ or organism
acroscopic,facing or on the side toward the apex
basiscopic,facing or on the side toward the base
abducent,especially of muscles; drawing away from the midline of the body or from an adjacent part
adducent,especially of muscles; bringing together or drawing toward the midline of the body or toward an adjacent part
nascent,being born or beginning
half-length,abridged to half its original length
full-length,complete
unquestioning,being without doubt or reserve
comparative,estimated by comparison; not absolute or complete
absorbefacient,inducing or promoting absorption
sorbefacient,inducing or promoting absorption
assimilating,"capable of taking (gas, light, or liquids) into a solution"
assimilative,"capable of taking (gas, light, or liquids) into a solution"
assimilatory,"capable of taking (gas, light, or liquids) into a solution"
hygroscopic,absorbing moisture (as from the air)
shock-absorbent,having the capacity to absorb the energy of an impact
nonabsorbent,not capable of absorbing or soaking up (liquids)
nonabsorptive,not capable of absorbing or soaking up (liquids)
surface-assimilative,having capacity or tendency to adsorb or cause to accumulate on a surface
chemisorptive,having the capacity to adsorb by chemical as contrasted with physical forces
chemosorptive,having the capacity to adsorb by chemical as contrasted with physical forces
nonadsorbent,lacking a capacity to adsorb or cause to accumulate on a surface
nonadsorptive,lacking a capacity to adsorb or cause to accumulate on a surface
abstentious,self-restraining; not indulging an appetite especially for food or drink
conceptional,being of the nature of a notion or concept
ideological,concerned with or suggestive of ideas
overabundant,excessively abundant
superabundant,most excessively abundant
ill-treated,subjected to cruel treatment
unexceptionable,completely acceptable; not open to exception or reproach
unimpeachable,completely acceptable; not open to exception or reproach
unobjectionable,not objectionable
unacceptable,not acceptable; not welcome
exceptionable,liable to objection or debate; used of something one might take exception to
objectionable,liable to objection or debate; used of something one might take exception to
approachable,easily approached
come-at-able,capable of being reached or attained
get-at-able,capable of being reached or attained
ready to hand,easy to reach
inaccessible,capable of being reached only with great difficulty or not at all
unaccessible,capable of being reached only with great difficulty or not at all
unapproachable,inaccessibly located or situated
unreachable,inaccessibly located or situated
out of reach,inaccessibly located or situated
un-come-at-able,difficult to reach or attain
un-get-at-able,difficult to reach or attain
ungetatable,difficult to reach or attain
accommodating,helpful in bringing about a harmonious adaptation
accommodative,helpful in bringing about a harmonious adaptation
complaisant,showing a cheerful willingness to do favors for others
unaccommodating,not accommodating
disobliging,intentionally unaccommodating
uncooperative,intentionally unaccommodating
high-fidelity,characterized by minimal distortion in sound reproduction
dead on target,accurately placed or thrown
wide of the mark,not on target
accustomed to,in the habit of or adapted to
unaccustomed to,not habituated to; unfamiliar with
acid-forming,yielding an acid in aqueous solution
alkalescent,tending to become alkaline; slightly alkaline
alcalescent,tending to become alkaline; slightly alkaline
base-forming,yielding a base in aqueous solution
amphiprotic,having characteristics of both an acid and a base and capable of reacting as either
acid-loving,thriving in a relatively acidic environment (especially of plants requiring a pH well below 7)
acidophilic,especially of some bacteria; growing well in an acid medium
acidophilous,especially of some bacteria; growing well in an acid medium
alkaline-loving,thriving in a relatively alkaline environment; (especially of plants requiring a pH above 7)
acknowledged,recognized or made known or admitted
self-confessed,owned up to
unacknowledged,not recognized or admitted
unappreciated,having value that is not acknowledged
unconfessed,not admitted
unrecognized,not recognized
unrecognised,not recognized
acquisitive,eager to acquire and possess things especially material possessions or ideas
accumulative,marked by acquiring or amassing
unacquisitive,not acquisitive; not interested in acquiring or owning anything
hyperactive,more active than normal
underactive,abnormally inactive
strikebound,closed or immobilized by a strike
progressive,advancing in severity
quiescent,(pathology) causing no symptoms
unresisting,"offering no resistance, passively accepting of a situation"
quiescent,being quiet or still or inactive
counteractive,opposing or neutralizing or mitigating an effect by contrary action
surface-active,capable of lowering the surface tension of a liquid; used especially of detergents
quiescent,not active or activated
degenerative,(of illness) marked by gradual deterioration of organs and cells along with loss of function
highly infective,(of a microorganism) extremely infective
accommodative,tending to reconcile or accommodate; bringing into harmony
reconciling,tending to reconcile or accommodate; bringing into harmony
adaptational,of or relating to adaptation
maladaptive,showing faulty adaptation
dysfunctional,(of a trait or condition) failing to serve an adjustive purpose
